total_cuenta,propina,genero,fumador,dia,tiempo,cantidad
25.56,4.34,Hombre,No,Dom,Cena,4
19.49,3.51,Hombre,No,Dom,Cena,2
38.01,3.0,Hombre,Si,Sab,Cena,4
26.41,1.5,Mujer,No,Sab,Cena,2
11.24,1.76,Hombre,Si,Sab,Cena,2
48.27,6.73,Hombre,No,Sab,Cena,4
20.29,3.21,Hombre,Si,Sab,Cena,2
13.81,2.0,Hombre,Si,Sab,Cena,2
11.02,1.98,Hombre,Si,Sab,Cena,2
18.29,3.76,Hombre,Si,Sab,Cena,4
17.59,2.64,Hombre,No,Sab,Cena,3
20.08,3.15,Hombre,No,Sab,Cena,3
16.45,2.47,Mujer,No,Sab,Cena,2
3.07,1.0,Mujer,Si,Sab,Cena,1
20.23,2.01,Hombre,No,Sab,Cena,2
15.01,2.09,Hombre,Si,Sab,Cena,2
12.02,1.97,Hombre,No,Sab,Cena,2
17.07,3.0,Mujer,No,Sab,Cena,3
26.86,3.14,Mujer,Si,Sab,Cena,2
25.28,5.0,Mujer,Si,Sab,Cena,2
14.73,2.2,Mujer,No,Sab,Cena,2
10.51,1.25,Hombre,No,Sab,Cena,2
17.92,3.08,Hombre,Si,Sab,Cena,2
27.2,4.0,Hombre,No,Jue,Almuerzo,4
22.76,3.0,Hombre,No,Jue,Almuerzo,2
17.29,2.71,Hombre,No,Jue,Almuerzo,2
19.44,3.0,Hombre,Si,Jue,Almuerzo,2
16.66,3.4,Hombre,No,Jue,Almuerzo,2
10.07,1.83,Mujer,No,Jue,Almuerzo,1
32.68,5.0,Hombre,Si,Jue,Almuerzo,2
15.98,2.03,Hombre,No,Jue,Almuerzo,2
34.83,5.17,Mujer,No,Jue,Almuerzo,4
13.03,2.0,Hombre,No,Jue,Almuerzo,2
18.28,4.0,Hombre,No,Jue,Almuerzo,2
24.71,5.85,Hombre,No,Jue,Almuerzo,2
21.16,3.0,Hombre,No,Jue,Almuerzo,2
28.97,3.0,Hombre,Si,Vie,Cena,2
22.49,3.5,Hombre,No,Vie,Cena,2
5.75,1.0,Mujer,Si,Vie,Cena,2
16.32,4.3,Mujer,Si,Vie,Cena,2
22.75,3.25,Mujer,No,Vie,Cena,2
40.17,4.73,Hombre,Si,Vie,Cena,4
27.28,4.0,Hombre,Si,Vie,Cena,2
12.03,1.5,Hombre,Si,Vie,Cena,2
21.01,3.0,Hombre,Si,Vie,Cena,2
12.46,1.5,Hombre,No,Vie,Cena,2
11.35,2.5,Mujer,Si,Vie,Cena,2
15.38,3.0,Mujer,Si,Vie,Cena,2
44.3,2.5,Mujer,Si,Sab,Cena,3
22.42,3.48,Mujer,Si,Sab,Cena,2
20.92,4.08,Mujer,No,Sab,Cena,2
15.36,1.64,Hombre,Si,Sab,Cena,2
20.49,4.06,Hombre,Si,Sab,Cena,2
25.21,4.29,Hombre,Si,Sab,Cena,2
18.24,3.76,Hombre,No,Sab,Cena,2
14.31,4.0,Mujer,Si,Sab,Cena,2
14.0,3.0,Hombre,No,Sab,Cena,2
7.25,1.0,Mujer,No,Sab,Cena,1
38.07,4.0,Hombre,No,Dom,Cena,3
23.95,2.55,Hombre,No,Dom,Cena,2
25.71,4.0,Mujer,No,Dom,Cena,3
17.31,3.5,Mujer,No,Dom,Cena,2
29.93,5.07,Hombre,No,Dom,Cena,4
10.65,1.5,Mujer,No,Jue,Almuerzo,2
12.43,1.8,Mujer,No,Jue,Almuerzo,2
24.08,2.92,Mujer,No,Jue,Almuerzo,4
11.69,2.31,Hombre,No,Jue,Almuerzo,2
13.42,1.68,Mujer,No,Jue,Almuerzo,2
14.26,2.5,Hombre,No,Jue,Almuerzo,2
15.95,2.0,Hombre,No,Jue,Almuerzo,2
12.48,2.52,Mujer,No,Jue,Almuerzo,2
29.8,4.2,Mujer,No,Jue,Almuerzo,6
8.52,1.48,Hombre,No,Jue,Almuerzo,2
14.52,2.0,Mujer,No,Jue,Almuerzo,2
11.38,2.0,Mujer,No,Jue,Almuerzo,2
22.82,2.18,Hombre,No,Jue,Almuerzo,3
19.08,1.5,Hombre,No,Jue,Almuerzo,2
20.27,2.83,Mujer,No,Jue,Almuerzo,2
11.17,1.5,Mujer,No,Jue,Almuerzo,2
12.26,2.0,Mujer,No,Jue,Almuerzo,2
18.26,3.25,Mujer,No,Jue,Almuerzo,2
8.51,1.25,Mujer,No,Jue,Almuerzo,2
10.33,2.0,Mujer,No,Jue,Almuerzo,2
14.15,2.0,Mujer,No,Jue,Almuerzo,2
16.0,2.0,Hombre,Si,Jue,Almuerzo,2
13.16,2.75,Mujer,No,Jue,Almuerzo,2
17.47,3.5,Mujer,No,Jue,Almuerzo,2
34.3,6.7,Hombre,No,Jue,Almuerzo,6
41.19,5.0,Hombre,No,Jue,Almuerzo,5
27.05,5.0,Mujer,No,Jue,Almuerzo,6
16.43,2.3,Mujer,No,Jue,Almuerzo,2
8.35,1.5,Mujer,No,Jue,Almuerzo,2
18.64,1.36,Mujer,No,Jue,Almuerzo,3
11.87,1.63,Mujer,No,Jue,Almuerzo,2
9.78,1.73,Hombre,No,Jue,Almuerzo,2
7.51,2.0,Hombre,No,Jue,Almuerzo,2
14.07,2.5,Hombre,No,Dom,Cena,2
13.13,2.0,Hombre,No,Dom,Cena,2
17.26,2.74,Hombre,No,Dom,Cena,3
24.55,2.0,Hombre,No,Dom,Cena,4
19.77,2.0,Hombre,No,Dom,Cena,4
29.85,5.14,Mujer,No,Dom,Cena,5
48.17,5.0,Hombre,No,Dom,Cena,6
25.0,3.75,Mujer,No,Dom,Cena,4
13.39,2.61,Mujer,No,Dom,Cena,2
16.49,2.0,Hombre,No,Dom,Cena,4
21.5,3.5,Hombre,No,Dom,Cena,4
12.66,2.5,Hombre,No,Dom,Cena,2
16.21,2.0,Mujer,No,Dom,Cena,3
13.81,2.0,Hombre,No,Dom,Cena,2
17.51,3.0,Mujer,Si,Dom,Cena,2
24.52,3.48,Hombre,No,Dom,Cena,3
20.76,2.24,Hombre,No,Dom,Cena,2
31.71,4.5,Hombre,No,Dom,Cena,4
10.59,1.61,Mujer,Si,Sab,Cena,2
10.63,2.0,Mujer,Si,Sab,Cena,2
50.81,10.0,Hombre,Si,Sab,Cena,3
15.81,3.16,Hombre,Si,Sab,Cena,2
7.25,5.15,Hombre,Si,Dom,Cena,2
31.85,3.18,Hombre,Si,Dom,Cena,2
16.82,4.0,Hombre,Si,Dom,Cena,2
32.9,3.11,Hombre,Si,Dom,Cena,2
17.89,2.0,Hombre,Si,Dom,Cena,2
14.48,2.0,Hombre,Si,Dom,Cena,2
9.6,4.0,Mujer,Si,Dom,Cena,2
34.63,3.55,Hombre,Si,Dom,Cena,2
34.65,3.68,Hombre,Si,Dom,Cena,4
23.33,5.65,Hombre,Si,Dom,Cena,2
45.35,3.5,Hombre,Si,Dom,Cena,3
23.17,6.5,Hombre,Si,Dom,Cena,4
40.55,3.0,Hombre,Si,Dom,Cena,2
20.69,5.0,Hombre,No,Dom,Cena,5
20.9,3.5,Mujer,Si,Dom,Cena,3
30.46,2.0,Hombre,Si,Dom,Cena,5
18.15,3.5,Mujer,Si,Dom,Cena,3
23.1,4.0,Hombre,Si,Dom,Cena,3
15.69,1.5,Hombre,Si,Dom,Cena,2
19.81,4.19,Mujer,Si,Jue,Almuerzo,2
28.44,2.56,Hombre,Si,Jue,Almuerzo,2
15.48,2.02,Hombre,Si,Jue,Almuerzo,2
16.58,4.0,Hombre,Si,Jue,Almuerzo,2
7.56,1.44,Hombre,No,Jue,Almuerzo,2
10.34,2.0,Hombre,Si,Jue,Almuerzo,2
43.11,5.0,Mujer,Si,Jue,Almuerzo,4
13.0,2.0,Mujer,Si,Jue,Almuerzo,2
13.51,2.0,Hombre,Si,Jue,Almuerzo,2
18.71,4.0,Hombre,Si,Jue,Almuerzo,3
12.74,2.01,Mujer,Si,Jue,Almuerzo,2
13.0,2.0,Mujer,Si,Jue,Almuerzo,2
16.4,2.5,Mujer,Si,Jue,Almuerzo,2
20.53,4.0,Hombre,Si,Jue,Almuerzo,4
16.47,3.23,Mujer,Si,Jue,Almuerzo,3
26.59,3.41,Hombre,Si,Sab,Cena,3
38.73,3.0,Hombre,Si,Sab,Cena,4
24.27,2.03,Hombre,Si,Sab,Cena,2
12.76,2.23,Mujer,Si,Sab,Cena,2
30.06,2.0,Hombre,Si,Sab,Cena,3
25.89,5.16,Hombre,Si,Sab,Cena,4
48.33,9.0,Hombre,No,Sab,Cena,4
13.27,2.5,Mujer,Si,Sab,Cena,2
28.17,6.5,Mujer,Si,Sab,Cena,3
12.9,1.1,Mujer,Si,Sab,Cena,2
28.15,3.0,Hombre,Si,Sab,Cena,5
11.59,1.5,Hombre,Si,Sab,Cena,2
7.74,1.44,Hombre,Si,Sab,Cena,2
30.14,3.09,Mujer,Si,Sab,Cena,4
12.16,2.2,Hombre,Si,Vie,Almuerzo,2
13.42,3.48,Mujer,Si,Vie,Almuerzo,2
8.58,1.92,Hombre,Si,Vie,Almuerzo,1
15.98,3.0,Mujer,No,Vie,Almuerzo,3
13.42,1.58,Hombre,Si,Vie,Almuerzo,2
16.27,2.5,Mujer,Si,Vie,Almuerzo,2
10.09,2.0,Mujer,Si,Vie,Almuerzo,2
20.45,3.0,Hombre,No,Sab,Cena,4
13.28,2.72,Hombre,No,Sab,Cena,2
22.12,2.88,Mujer,Si,Sab,Cena,2
24.01,2.0,Hombre,Si,Sab,Cena,4
15.69,3.0,Hombre,Si,Sab,Cena,3
11.61,3.39,Hombre,No,Sab,Cena,2
10.77,1.47,Hombre,No,Sab,Cena,2
15.53,3.0,Hombre,Si,Sab,Cena,2
10.07,1.25,Hombre,No,Sab,Cena,2
12.6,1.0,Hombre,Si,Sab,Cena,2
32.83,1.17,Hombre,Si,Sab,Cena,2
35.83,4.67,Mujer,No,Sab,Cena,3
29.03,5.92,Hombre,No,Sab,Cena,3
27.18,2.0,Mujer,Si,Sab,Cena,2
22.67,2.0,Hombre,Si,Sab,Cena,2
17.82,1.75,Hombre,No,Sab,Cena,2
18.78,3.0,Mujer,No,Jue,Cena,2
